name,rating,review_count,price,location.city,coordinates.latitude,coordinates.longitude,categories,distance,full_address
Homeroom Berkeley,4.2,238,$$,Berkeley,37.87956,-122.29776,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'tradamerican', 'title': 'American'}]",2338.678567179937,"1313 Ninth St Ste120, Berkeley, CA 94710, USA"
IB’s,3.9,803,$$,Berkeley,37.86808075593729,-122.2584868678494,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'cheesesteaks', 'title': 'Cheesesteaks'}]",1458.2025182292712,"2513 Durant Ave, Berkeley, CA 94704, USA"
Nash Cafe,3.8,123,,Berkeley,37.8723,-122.26954,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'chinese', 'title': 'Chinese'}]",635.145703708217,"2047 University Ave, Berkeley, CA 94704, USA"
The Italian Homemade Company,3.8,623,$$,Berkeley,37.85815,-122.25284,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'gelato', 'title': 'Gelato'}, {'alias': 'delis', 'title': 'Delis'}]",2263.9313901260234,"2911 College Ave, Berkeley, CA 94705, USA"
Simmer & Steamer,4.0,29,,Berkeley,37.87185245977809,-122.26797374750166,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",720.9509000054475,"2006 Kala Bagai Wy, Berkeley, CA 94704, USA"
Jungdon Katsu,4.7,80,,Emeryville,37.8460025,-122.2919855,"[{'alias': 'japanese', 'title': 'Japanese'}]",2918.9224042484784,"6485 Hollis St, Emeryville, CA 94608, USA"
Moo Bong Ri Korean Restaurant,4.5,1451,$$,Oakland,37.832094781567775,-122.2630403,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'soup', 'title': 'Soup'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4195.6507893066855,"4390 Telegraph Ave STE #K, Oakland, CA 94609, USA"
Korean Superette,4.4,273,$$,Berkeley,37.891194328670984,-122.2863228,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'intlgrocery', 'title': 'International Grocery'}, {'alias': 'delis', 'title': 'Delis'}]",2698.1059521259344,"1539 Solano Ave, Berkeley, CA 94707, USA"
Impression of Lanzhou,3.7,9,,Berkeley,37.87518747574774,-122.260291075712,"[{'alias': 'chinese', 'title': 'Chinese'}]",1490.4452623757609,"1878 Euclid Ave, Berkeley, CA 94709, USA"
Mensho,4.5,527,$$,Oakland,37.828330196536754,-122.24970135837792,"[{'alias': 'ramen', 'title': 'Ramen'}]",5002.702635237689,"4258 Piedmont Ave, Oakland, CA 94611, USA"
Ippuku,3.9,1487,$$$,Berkeley,37.87027,-122.26702,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'izakaya', 'title': 'Izakaya'}]",725.8376082009867,"2130 Center St Suite 102, Berkeley, CA 94704, USA"
Mugunghwa,4.3,236,$$,El Cerrito,37.90304581745432,-122.30351153614734,"[{'alias': 'soup', 'title': 'Soup'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'noodles', 'title': 'Noodles'}]",4570.132693382377,"10140 San Pablo Ave, El Cerrito, CA 94530, USA"
